noise_thr,data_size,data_unit,total_features,avg_features_p_analysis,mode,par_set
1000,410.4,MB,2629050,35054,pos,a
1000,264.7,MB,1695417,22606,neg,a
1000,177.9,MB,1138973,15186,pos,b
1500,124.9,MB,798804,10651,pos,b
2000,91.2,MB,583080,7774,pos,b
2500,69.7,MB,445462,5939,pos,b
3000,55.3,MB,353163,4709,pos,b
3500,45.5,MB,289813,3864,pos,b
4000,38.4,MB,244713,3263,pos,b
4500,33.2,MB,211051,2814,pos,b
5000,29.2,MB,185293,2471,pos,b
5500,26,MB,165034,2200,pos,b
6000,23.5,MB,149016,1987,pos,b
6500,21.4,MB,135685,1809,pos,b
7000,19.6,MB,124265,1657,pos,b
7500,18.2,MB,114814,1531,pos,b
8000,16.9,MB,106489,1420,pos,b
8500,15.7,MB,99304,1324,pos,b
9000,14.7,MB,92811,1237,pos,b
9500,13.9,MB,87236,1163,pos,b
10000,13,MB,82050,1094,pos,b
1000,104.5,MB,667983,8906,neg,b
1500,62.9,MB,401360,5351,neg,b
2000,39.7,MB,253159,3375,neg,b
2500,27.1,MB,172016,2294,neg,b
3000,19.9,MB,125736,1676,neg,b
3500,15.6,MB,98525,1314,neg,b
4000,12.8,MB,80770,1077,neg,b
4500,11,MB,69122,922,neg,b
5000,9.7,MB,60514,807,neg,b
5500,8.7,MB,54068,721,neg,b
6000,7.9,MB,48889,652,neg,b
6500,7.2,MB,44687,596,neg,b
7000,6.7,MB,41485,553,neg,b
7500,6.3,MB,38731,516,neg,b
8000,5.9,MB,36424,486,neg,b
8500,5.6,MB,34200,456,neg,b
9000,5.3,MB,32337,431,neg,b
9500,5,MB,30717,410,neg,b
10000,4.8,MB,29181,389,neg,b
